t,ch1,ch2
-3.80E-07,0.40553358,0.008170605
-3.78E-07,0.24743083,0.03017217
-3.76E-07,0.089328066,-0.024638772
-3.74E-07,0.089328066,-0.002637208
-3.72E-07,0.089328066,-0.002637208
-3.70E-07,0.089328066,0.008170605
-3.68E-07,0.089328066,0.019364655
-3.66E-07,0.089328066,-0.01383096
-3.64E-07,0.24743083,0.019364655
-3.62E-07,0.24743083,0.03017217
-3.60E-07,0.24743083,-0.01383096
-3.58E-07,0.24743083,0.03017217
-3.56E-07,0.089328066,0.03017217
-3.54E-07,0.24743083,0.062981845
-3.52E-07,0.089328066,0.03017217
-3.50E-07,0.089328066,0.008170605
-3.48E-07,0.24743083,-0.01383096
-3.46E-07,0.089328066,-0.01383096
-3.44E-07,0.24743083,-0.01383096
-3.42E-07,-0.0687747,0.008170605
-3.40E-07,0.089328066,0.03017217
-3.38E-07,0.24743083,0.008170605
-3.36E-07,0.089328066,0.019364655
-3.34E-07,0.40553358,0.008170605
-3.32E-07,0.24743083,-0.002637208
-3.30E-07,0.40553358,0.019364655
-3.28E-07,0.24743083,0.008170605
-3.26E-07,0.089328066,0.04136622
-3.24E-07,0.40553358,0.019364655
-3.22E-07,0.24743083,0.008170605
-3.20E-07,0.40553358,0.03017217
-3.18E-07,0.089328066,0.03017217
-3.16E-07,0.089328066,0.03017217
-3.14E-07,0.089328066,0.04136622
-3.12E-07,0.089328066,0.03017217
-3.10E-07,0.089328066,0.019364655
-3.08E-07,0.089328066,-0.002637208
-3.06E-07,0.24743083,-0.002637208
-3.04E-07,0.089328066,0.052174033
-3.02E-07,0.24743083,0.008170605
-3.00E-07,-0.0687747,0.052174033
-2.98E-07,0.089328066,0.03017217
-2.96E-07,0.24743083,0.008170605
-2.94E-07,0.24743083,0.019364655
-2.92E-07,0.24743083,0.008170605
-2.90E-07,0.089328066,-0.002637208
-2.88E-07,0.089328066,0.008170605
-2.86E-07,-0.0687747,-0.01383096
-2.84E-07,0.24743083,-0.002637208
-2.82E-07,0.089328066,0.03017217
-2.80E-07,0.089328066,-0.024638772
-2.78E-07,0.089328066,0.03017217
-2.76E-07,0.24743083,0.019364655
-2.74E-07,-0.0687747,-0.01383096
-2.72E-07,0.089328066,0.03017217
-2.70E-07,0.089328066,0.03017217
-2.68E-07,0.089328066,-0.002637208
-2.66E-07,0.24743083,0.062981845
-2.64E-07,0.40553358,-0.002637208
-2.62E-07,0.40553358,0.04136622
-2.60E-07,0.089328066,0.008170605
-2.58E-07,0.24743083,0.04136622
-2.56E-07,0.24743083,0.04136622
-2.54E-07,0.24743083,0.03017217
-2.52E-07,0.089328066,0.008170605
-2.50E-07,0.089328066,0.03017217
-2.48E-07,0.24743083,-0.024638772
-2.46E-07,0.24743083,-0.002637208
-2.44E-07,0.40553358,-0.002637208
-2.42E-07,0.089328066,0.008170605
-2.40E-07,0.24743083,0.019364655
-2.38E-07,0.089328066,-0.01383096
-2.36E-07,0.24743083,0.019364655
