t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
-3.98E-08,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.008537591,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,-0.070513785,0.087588966,0.087588966,0.087588966,0.087588966
-3.96E-08,-0.070513785,0.087588966,0.087588966,-0.070513785,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.008537591,0.087588966,0.008537591
-3.94E-08,0.16664034,-0.070513785,0.087588966,0.008537591,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.16664034,0.087588966,-0.070513785,0.087588966
-3.92E-08,0.087588966,0.008537591,0.087588966,0.16664034,0.087588966,0.24569172,0.087588966,-0.070513785,0.16664034,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034
-3.90E-08,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.24569172,0.087588966,0.16664034,0.16664034,-0.070513785,0.008537591,-0.070513785,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966
-3.88E-08,0.16664034,0.008537591,0.008537591,0.008537591,0.008537591,0.16664034,0.008537591,0.16664034,0.087588966,0.008537591,0.087588966,0.008537591,0.24569172,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.16664034
-3.86E-08,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.24569172,0.087588966,0.16664034,-0.070513785,0.16664034,0.008537591,0.16664034,0.24569172,-0.070513785,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966
-3.84E-08,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034,0.008537591,0.24569172,0.087588966,0.087588966,0.16664034,0.087588966,0.16664034,0.087588966,0.008537591,0.24569172,0.008537591,0.008537591,0.008537591
-3.82E-08,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.008537591,0.16664034
-3.80E-08,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.16664034,0.16664034,0.16664034,0.008537591,0.087588966,-0.070513785,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.16664034,0.087588966,0.087588966
-3.78E-08,-0.070513785,0.16664034,0.16664034,0.087588966,0.087588966,0.24569172,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034,0.16664034,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.24569172,0.008537591,-0.070513785,0.087588966
-3.76E-08,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.16664034,0.008537591,0.16664034,0.16664034,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.008537591,0.008537591,0.008537591,0.16664034,0.087588966,0.008537591,0.008537591
-3.74E-08,0.008537591,0.087588966,-0.070513785,0.008537591,0.087588966,0.16664034,0.087588966,-0.070513785,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.24569172,0.008537591
-3.72E-08,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.16664034,-0.070513785,0.008537591,0.16664034,-0.070513785,0.087588966,0.008537591,0.087588966,-0.14956516,0.008537591,0.087588966
-3.70E-08,0.16664034,0.087588966,0.24569172,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,-0.070513785,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.087588966
-3.68E-08,0.087588966,-0.070513785,0.24569172,0.16664034,0.16664034,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034
-3.66E-08,0.008537591,0.008537591,0.008537591,0.008537591,0.087588966,0.16664034,0.16664034,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.008537591
-3.64E-08,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.24569172,0.087588966,0.16664034,0.087588966,0.16664034,0.087588966,0.24569172,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591
-3.62E-08,0.24569172,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,-0.070513785,0.16664034,0.087588966,0.16664034,0.008537591,0.008537591,0.008537591,0.008537591,-0.070513785,0.008537591,0.087588966,0.087588966,0.087588966,0.008537591
-3.60E-08,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.24569172,0.087588966,0.16664034,0.16664034,0.008537591,-0.070513785,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966
-3.58E-08,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.24569172,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591,0.16664034,0.087588966
-3.56E-08,0.087588966,0.16664034,0.008537591,-0.070513785,0.087588966,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966
-3.54E-08,0.008537591,0.087588966,0.008537591,0.16664034,0.16664034,0.16664034,0.16664034,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966
-3.52E-08,0.008537591,0.16664034,0.008537591,0.16664034,0.16664034,0.16664034,0.087588966,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591
-3.50E-08,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.087588966,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.24569172,0.087588966,0.087588966
-3.48E-08,0.087588966,-0.070513785,0.16664034,0.008537591,0.16664034,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,-0.070513785,0.008537591,0.16664034,0.008537591,0.008537591,0.087588966,0.16664034
-3.46E-08,-0.070513785,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966
-3.44E-08,0.087588966,0.087588966,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034,0.24569172,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591
-3.42E-08,0.16664034,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.16664034,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966
-3.40E-08,0.008537591,0.008537591,0.008537591,0.16664034,0.16664034,0.16664034,0.16664034,0.087588966,-0.070513785,0.008537591,0.16664034,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.087588966,0.16664034,0.16664034,0.008537591
-3.38E-08,0.16664034,0.16664034,0.087588966,0.24569172,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.16664034,0.16664034,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.16664034,-0.070513785
-3.36E-08,0.087588966,0.16664034,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,-0.14956516,-0.070513785,0.087588966,-0.070513785,0.008537591,0.008537591,0.16664034,0.16664034,0.087588966,0.008537591,0.008537591,0.008537591,-0.070513785,0.087588966
-3.34E-08,0.087588966,-0.070513785,0.24569172,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034
-3.32E-08,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,-0.070513785,0.16664034,0.16664034,0.087588966,0.087588966
-3.30E-08,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,-0.14956516,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.008537591,-0.070513785,0.087588966,0.008537591,0.087588966,0.16664034
-3.28E-08,-0.070513785,0.087588966,-0.070513785,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034
-3.26E-08,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.008537591,0.008537591,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.087588966,0.008537591,-0.070513785,0.087588966
-3.24E-08,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.087588966,0.16664034,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966
-3.22E-08,0.087588966,0.008537591,0.008537591,0.087588966,0.16664034,0.087588966,0.087588966,-0.070513785,0.16664034,0.087588966,0.008537591,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966,0.16664034
-3.20E-08,0.008537591,0.008537591,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,0.24569172,0.008537591,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.16664034,0.16664034,-0.070513785,0.087588966,0.087588966
-3.18E-08,0.087588966,0.087588966,0.16664034,0.087588966,0.16664034,0.24569172,0.008537591,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.16664034,0.24569172,0.16664034,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966
-3.16E-08,0.087588966,0.087588966,0.24569172,0.16664034,0.16664034,0.16664034,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.16664034,0.16664034,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966
-3.14E-08,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966
-3.12E-08,0.087588966,0.087588966,0.008537591,0.24569172,0.16664034,0.087588966,-0.070513785,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.087588966,0.087588966,-0.070513785,0.087588966,0.008537591,0.087588966,-0.070513785
-3.10E-08,0.087588966,0.16664034,0.16664034,0.16664034,0.24569172,0.008537591,-0.070513785,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.16664034,0.24569172,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.008537591
-3.08E-08,-0.070513785,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.008537591,0.087588966,0.24569172,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966
-3.06E-08,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,-0.070513785,0.16664034,0.087588966,0.16664034,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.008537591,-0.070513785,0.087588966,0.008537591,0.087588966
-3.04E-08,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.008537591,0.008537591,0.16664034,0.087588966,0.24569172,0.087588966,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966
-3.02E-08,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591
-3.00E-08,0.16664034,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.16664034,0.16664034,0.008537591,0.087588966,0.16664034,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591
-2.98E-08,0.008537591,0.008537591,0.008537591,0.24569172,0.087588966,0.087588966,0.16664034,-0.070513785,0.008537591,0.16664034,0.16664034,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591
-2.96E-08,0.087588966,0.008537591,0.008537591,0.087588966,0.24569172,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.008537591,0.087588966,0.24569172,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034
-2.94E-08,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.008537591,0.008537591,0.16664034,0.087588966,0.16664034,0.16664034,0.008537591,0.087588966,-0.070513785,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.16664034
-2.92E-08,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.008537591,0.008537591,-0.070513785,-0.14956516,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591
-2.90E-08,0.24569172,0.008537591,0.008537591,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.16664034,0.16664034
-2.88E-08,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.16664034,0.008537591,0.16664034,0.16664034,0.008537591,0.16664034,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,-0.070513785,0.16664034,0.087588966
-2.86E-08,0.087588966,0.008537591,0.16664034,0.16664034,0.16664034,0.087588966,0.087588966,0.008537591,0.16664034,0.16664034,0.008537591,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.24569172,0.087588966,0.087588966,0.16664034
-2.84E-08,0.16664034,0.16664034,0.24569172,0.087588966,0.16664034,0.087588966,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.16664034,0.087588966,0.16664034,0.008537591,0.087588966
-2.82E-08,0.008537591,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.16664034,0.008537591
-2.80E-08,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,-0.070513785,-0.070513785,0.008537591,0.008537591,0.008537591,0.087588966,0.16664034,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.008537591
-2.78E-08,0.16664034,0.008537591,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.008537591,0.008537591,0.008537591,0.16664034,0.008537591,0.16664034,0.008537591
-2.76E-08,0.087588966,-0.070513785,0.008537591,0.008537591,0.24569172,0.087588966,0.087588966,0.008537591,0.16664034,0.008537591,0.16664034,0.16664034,0.16664034,0.087588966,0.008537591,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.008537591
-2.74E-08,0.16664034,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034,0.008537591,0.008537591,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.008537591
-2.72E-08,0.087588966,-0.070513785,0.087588966,0.087588966,0.008537591,0.16664034,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.24569172,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034,0.008537591
-2.70E-08,0.008537591,0.008537591,0.16664034,0.008537591,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,-0.070513785,0.087588966,0.087588966,0.16664034,0.008537591,0.24569172,0.087588966,0.008537591,0.008537591,0.087588966,0.008537591,0.008537591
-2.68E-08,0.087588966,0.087588966,0.16664034,-0.070513785,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,0.008537591,0.16664034,0.16664034,0.087588966,0.087588966,0.24569172,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.087588966
-2.66E-08,0.16664034,0.16664034,0.087588966,-0.070513785,0.087588966,0.008537591,0.16664034,0.16664034,0.087588966,0.087588966,0.16664034,0.16664034,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,-0.070513785,0.087588966,0.008537591
-2.64E-08,0.087588966,0.24569172,0.008537591,-0.070513785,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,-0.070513785,0.087588966,0.16664034
-2.62E-08,0.008537591,0.008537591,0.008537591,0.16664034,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.16664034,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966
-2.60E-08,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,-0.070513785,0.087588966,0.008537591,0.087588966,0.16664034,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.24569172,0.16664034,0.008537591
-2.58E-08,0.008537591,0.008537591,0.087588966,0.087588966,0.16664034,0.008537591,0.16664034,0.008537591,0.16664034,0.008537591,0.087588966,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.087588966
-2.56E-08,0.087588966,0.16664034,0.008537591,0.008537591,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,-0.070513785,0.087588966,0.087588966,0.008537591
-2.54E-08,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.008537591,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,-0.070513785
-2.52E-08,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,-0.070513785,0.008537591,0.087588966,0.087588966,-0.070513785
-2.50E-08,0.087588966,0.087588966,0.087588966,-0.070513785,0.16664034,0.087588966,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.16664034,0.087588966,0.16664034,0.008537591,-0.070513785
-2.48E-08,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.087588966
-2.46E-08,0.24569172,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.008537591,0.008537591,0.087588966,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.24569172,0.087588966,0.087588966,0.087588966,0.087588966
-2.44E-08,-0.070513785,-0.070513785,0.008537591,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.16664034,0.008537591,0.087588966,0.008537591,0.16664034,0.16664034,0.008537591,0.008537591,0.16664034,-0.070513785,0.16664034,0.087588966,0.16664034
-2.42E-08,0.087588966,0.008537591,-0.070513785,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,0.16664034,0.008537591,0.16664034,0.087588966,0.16664034
-2.40E-08,0.087588966,0.16664034,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,0.008537591,0.087588966,-0.070513785,0.087588966,0.087588966,0.16664034
-2.38E-08,0.24569172,0.008537591,0.087588966,-0.14956516,0.16664034,0.24569172,0.16664034,0.24569172,0.008537591,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.16664034,-0.070513785,0.087588966,0.008537591,0.008537591,-0.070513785,0.008537591
-2.36E-08,0.16664034,0.087588966,0.16664034,0.008537591,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,-0.070513785,0.087588966,0.16664034,0.008537591,0.008537591,0.087588966,0.087588966,0.087588966,-0.070513785,0.087588966,0.087588966,0.087588966
-2.34E-08,0.16664034,0.16664034,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.008537591,0.008537591,-0.070513785,0.008537591,0.16664034,0.087588966,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.16664034,0.16664034
-2.32E-08,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.008537591,0.087588966,0.16664034,-0.14956516,0.24569172,0.008537591,0.32474312,0.087588966,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591
-2.30E-08,0.087588966,0.087588966,0.16664034,-0.070513785,0.087588966,0.16664034,-0.070513785,0.16664034,0.16664034,0.008537591,0.24569172,0.008537591,0.008537591,0.087588966,0.008537591,0.087588966,0.008537591,0.087588966,0.087588966,0.087588966,0.087588966
-2.28E-08,0.008537591,-0.070513785,0.087588966,-0.070513785,0.087588966,0.087588966,-0.070513785,0.087588966,0.087588966,0.16664034,0.008537591,0.087588966,0.16664034,0.087588966,0.087588966,0.008537591,0.087588966,0.008537591,0.16664034,0.087588966,0.008537591
-2.26E-08,0.16664034,0.087588966,0.087588966,0.008537591,0.008537591,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.16664034,0.087588966,0.087588966,0.16664034,0.087588966,0.008537591,0.087588966,0.087588966,0.16664034,0.008537591,0.008537591
-2.24E-08,0.087588966,0.008537591,-0.070513785,0.008537591,0.008537591,0.24569172,0.087588966,0.16664034,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.087588966,0.008537591,0.16664034,0.008537591,0.087588966,0.008537591,0.008537591
