t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.0114693,-0.039051384,0.039999999,0.19810277,0.039999999,0.19810277,0.039999999,0.039999999,-0.039051384,0.19810277,0.11905138
0.01146945,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138
0.0114696,0.19810277,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138
0.011469751,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.11905138,-0.039051384,0.11905138
0.011469901,0.039999999,0.11905138,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,-0.039051384
0.011470051,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138
0.011470201,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.19810277,0.039999999,0.039999999
0.011470351,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.19810277,0.11905138,0.039999999,0.19810277
0.011470502,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138
0.011470652,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.19810277,0.039999999
0.011470802,0.11905138,0.11905138,0.11905138,0.19810277,0.039999999,0.19810277,0.039999999,0.19810277,0.11905138,0.11905138
0.011470952,0.11905138,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138
0.011471102,0.11905138,0.11905138,0.039999999,0.19810277,0.19810277,0.11905138,0.039999999,0.039999999,0.19810277,0.039999999
0.011471253,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.11905138,-0.11810277
0.011471403,0.11905138,0.11905138,-0.039051384,0.19810277,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999
0.011471553,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.19810277,0.11905138,-0.039051384,0.11905138,0.039999999
0.011471703,0.11905138,0.039999999,0.039999999,0.11905138,-0.039051384,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138
0.011471853,0.27715415,0.11905138,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,-0.039051384
0.011472003,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.039999999,-0.039051384
0.011472154,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138
0.011472304,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,-0.039051384,0.039999999
0.011472454,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.19810277,0.19810277
0.011472604,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999
0.011472754,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138
0.011472905,0.11905138,0.11905138,0.19810277,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277
0.011473055,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999
0.011473205,0.039999999,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138
0.011473355,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,-0.039051384
0.011473505,0.19810277,-0.039051384,0.19810277,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,-0.039051384
0.011473656,0.19810277,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999
0.011473806,0.11905138,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,0.19810277,0.11905138
0.011473956,0.11905138,0.039999999,0.19810277,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138
0.011474106,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277,0.11905138,0.19810277,-0.039051384,0.19810277,0.11905138
0.011474256,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138,0.11905138,0.11905138
0.011474407,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138
0.011474557,0.19810277,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138,0.11905138
0.011474707,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.11905138,0.11905138
0.011474857,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384
0.011475007,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384,0.11905138,0.19810277,0.11905138
0.011475158,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384,-0.039051384,0.11905138,0.11905138,0.11905138
0.011475308,0.19810277,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.11905138,0.039999999
0.011475458,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011475608,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,-0.039051384,0.11905138,0.039999999
0.011475758,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138
0.011475909,0.19810277,0.19810277,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138
0.011476059,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138
0.011476209,-0.039051384,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.19810277,0.039999999,0.11905138
0.011476359,0.11905138,0.19810277,0.039999999,0.19810277,0.19810277,0.039999999,0.039999999,0.039999999,0.11905138,-0.039051384
0.011476509,0.039999999,-0.039051384,0.11905138,0.11905138,0.11905138,0.039999999,-0.11810277,0.039999999,0.11905138,0.039999999
0.01147666,0.11905138,0.039999999,0.19810277,0.19810277,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138
0.01147681,0.039999999,0.19810277,0.11905138,0.039999999,0.11905138,0.19810277,0.11905138,0.039999999,0.039999999,0.11905138
0.01147696,0.039999999,0.19810277,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138
0.01147711,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.11905138,0.11905138
0.01147726,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999
0.01147741,0.039999999,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999
0.011477561,-0.039051384,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,-0.039051384
0.011477711,0.11905138,0.19810277,0.039999999,0.19810277,0.11905138,-0.039051384,-0.039051384,0.039999999,0.11905138,0.11905138
0.011477861,-0.039051384,0.19810277,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999
0.011478011,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011478161,0.11905138,-0.039051384,0.039999999,0.19810277,0.11905138,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999
0.011478312,0.19810277,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138,0.19810277
0.011478462,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138
0.011478612,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,-0.039051384
0.011478762,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.11905138,0.039999999
0.011478912,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277,-0.039051384,0.11905138,0.11905138,-0.039051384,0.19810277
0.011479063,-0.039051384,0.11905138,0.11905138,-0.039051384,0.19810277,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138
0.011479213,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138
0.011479363,-0.039051384,-0.039051384,0.039999999,-0.039051384,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138
0.011479513,0.19810277,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.19810277,-0.039051384,0.11905138,0.039999999
0.011479663,0.039999999,-0.039051384,-0.039051384,0.039999999,0.11905138,0.11905138,0.19810277,0.19810277,0.039999999,0.11905138
0.011479814,0.039999999,0.11905138,0.039999999,0.19810277,0.11905138,-0.039051384,0.039999999,0.11905138,0.039999999,0.11905138
0.011479964,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.11905138
0.011480114,0.039999999,0.039999999,0.039999999,-0.039051384,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999
0.011480264,0.11905138,0.039999999,0.039999999,-0.039051384,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999
0.011480414,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,-0.11810277,0.11905138,0.039999999
0.011480565,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.19810277,0.039999999
0.011480715,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999
0.011480865,-0.039051384,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,-0.039051384,0.11905138,-0.039051384,0.039999999
0.011481015,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.11905138
0.011481165,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999,0.19810277,0.11905138,0.11905138
0.011481316,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999
0.011481466,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,0.11905138,0.19810277,0.11905138,0.19810277
0.011481616,0.11905138,0.19810277,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138
0.011481766,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138
0.011481916,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.039999999,0.039999999
0.011482067,0.039999999,0.27715415,0.11905138,0.11905138,0.19810277,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138
0.011482217,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138
0.011482367,0.039999999,0.039999999,0.039999999,0.039999999,0.039999999,-0.039051384,0.11905138,0.11905138,0.039999999,0.11905138
0.011482517,0.039999999,0.11905138,0.19810277,0.19810277,0.19810277,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999
0.011482667,0.039999999,-0.039051384,0.039999999,0.11905138,0.19810277,0.039999999,0.039999999,0.039999999,-0.039051384,0.11905138
0.011482817,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999,-0.039051384,0.27715415
0.011482968,-0.039051384,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,-0.039051384,0.19810277,0.039999999,0.039999999
0.011483118,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,-0.039051384
0.011483268,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999
0.011483418,0.039999999,0.19810277,0.19810277,-0.039051384,0.19810277,0.19810277,0.11905138,0.11905138,-0.039051384,0.11905138
0.011483568,0.19810277,-0.039051384,-0.039051384,0.11905138,-0.039051384,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999
0.011483719,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,-0.039051384
0.011483869,-0.039051384,0.11905138,0.11905138,0.19810277,0.11905138,0.039999999,-0.039051384,0.039999999,-0.039051384,0.19810277
0.011484019,0.11905138,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277
0.011484169,0.11905138,0.039999999,0.19810277,0.039999999,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138
0.011484319,0.039999999,0.039999999,0.19810277,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.039999999,0.039999999
0.01148447,0.11905138,0.039999999,0.11905138,-0.039051384,0.11905138,-0.039051384,0.11905138,0.039999999,0.11905138,0.039999999
0.01148462,0.039999999,0.19810277,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138
0.01148477,-0.039051384,0.19810277,0.11905138,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138
0.01148492,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,-0.039051384,0.039999999,0.039999999,0.039999999
0.01148507,-0.039051384,-0.039051384,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,-0.039051384
0.011485221,0.039999999,0.11905138,0.039999999,-0.039051384,0.11905138,0.19810277,0.039999999,0.19810277,0.039999999,0.11905138
0.011485371,0.11905138,0.11905138,0.039999999,0.039999999,0.19810277,0.11905138,0.039999999,0.039999999,0.039999999,0.039999999
0.011485521,-0.039051384,0.19810277,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999,0.11905138,0.039999999
0.011485671,0.11905138,-0.039051384,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138
0.011485821,0.19810277,0.039999999,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277,0.11905138
0.011485972,0.039999999,0.039999999,0.11905138,0.039999999,0.19810277,0.039999999,0.11905138,0.11905138,0.039999999,0.19810277
0.011486122,-0.039051384,0.19810277,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138,0.11905138,-0.039051384
