t,ch1,ch2
-9.50E-07,0.089328066,0.022924902
-9.49E-07,0.24743083,-0.008695652
-9.48E-07,0.24743083,0.015019763
-9.47E-07,0.24743083,0.022924902
-9.46E-07,0.089328066,0.015019763
-9.45E-07,0.24743083,0.17312253
-9.44E-07,0.089328066,0.21264823
-9.43E-07,0.089328066,0.054545455
-9.42E-07,0.089328066,-0.016600791
-9.41E-07,0.24743083,-0.000790514
-9.40E-07,0.24743083,0.030830039
-9.39E-07,0.089328066,0.038735177
-9.38E-07,0.089328066,0.007114625
-9.37E-07,0.089328066,-0.008695652
-9.36E-07,0.089328066,0.015019763
-9.35E-07,0.089328066,0.015019763
-9.34E-07,0.089328066,0.007114625
-9.33E-07,0.24743083,0.2521739
-9.32E-07,0.24743083,0.15731226
-9.31E-07,0.24743083,0.030830039
-9.30E-07,0.089328066,-0.024505928
-9.29E-07,0.089328066,0.015019763
-9.28E-07,0.24743083,0.046640318
-9.27E-07,0.24743083,0.022924902
-9.26E-07,0.089328066,0.007114625
-9.25E-07,0.089328066,-0.008695652
-9.24E-07,0.24743083,0.007114625
-9.23E-07,0.089328066,0.015019763
-9.22E-07,0.24743083,0.015019763
-9.21E-07,0.089328066,0.30750987
-9.20E-07,0.24743083,0.1256917
-9.19E-07,0.089328066,0.022924902
-9.18E-07,0.24743083,-0.024505928
-9.17E-07,0.24743083,0.015019763
-9.16E-07,0.24743083,0.030830039
-9.15E-07,0.24743083,0.015019763
-9.14E-07,0.089328066,0.007114625
-9.13E-07,0.24743083,-0.008695652
-9.12E-07,0.24743083,0.007114625
-9.11E-07,0.40553358,0.022924902
-9.10E-07,0.24743083,0.015019763
-9.09E-07,0.24743083,0.29960474
-9.08E-07,0.40553358,0.10988142
-9.07E-07,-0.0687747,0.015019763
-9.06E-07,0.089328066,-0.016600791
-9.05E-07,0.24743083,0.022924902
-9.04E-07,0.089328066,0.030830039
-9.03E-07,-0.0687747,0.015019763
-9.02E-07,0.24743083,0.007114625
-9.01E-07,0.089328066,0.007114625
-9.00E-07,-0.0687747,0.015019763
-8.99E-07,0.24743083,0.022924902
-8.98E-07,0.24743083,0.038735177
-8.97E-07,0.089328066,0.2521739
-8.96E-07,0.24743083,0.078260869
-8.95E-07,-0.0687747,-0.008695652
-8.94E-07,0.24743083,-0.016600791
-8.93E-07,0.40553358,0.038735177
-8.92E-07,0.24743083,0.038735177
-8.91E-07,0.089328066,0.015019763
-8.90E-07,0.40553358,-0.000790514
-8.89E-07,0.24743083,-0.000790514
-8.88E-07,0.089328066,0.015019763
-8.87E-07,0.56363636,0.030830039
-8.86E-07,0.24743083,0.13359684
-8.85E-07,0.24743083,0.20474309
-8.84E-07,0.089328066,0.054545455
-8.83E-07,0.089328066,-0.032411069
-8.82E-07,-0.0687747,-0.016600791
-8.81E-07,0.24743083,0.038735177
-8.80E-07,0.089328066,0.030830039
-8.79E-07,0.089328066,0.015019763
-8.78E-07,0.089328066,-0.008695652
-8.77E-07,0.089328066,-0.000790514
-8.76E-07,0.24743083,0.022924902
-8.75E-07,0.089328066,0.022924902
-8.74E-07,0.40553358,0.22845849
-8.73E-07,0.089328066,0.16521738
-8.72E-07,0.089328066,0.054545455
-8.71E-07,0.24743083,-0.016600791
-8.70E-07,0.24743083,0.007114625
-8.69E-07,0.089328066,0.046640318
-8.68E-07,0.40553358,0.030830039
-8.67E-07,-0.0687747,-0.008695652
-8.66E-07,-0.0687747,0.007114625
-8.65E-07,0.24743083,0.007114625
-8.64E-07,0.24743083,0.015019763
-8.63E-07,0.24743083,0.007114625
-8.62E-07,0.24743083,0.28379446
-8.61E-07,-0.0687747,0.1256917
-8.60E-07,0.089328066,0.030830039
-8.59E-07,0.40553358,-0.016600791
-8.58E-07,-0.0687747,0.022924902
-8.57E-07,0.089328066,0.046640318
-8.56E-07,0.089328066,0.030830039
-8.55E-07,0.089328066,0.007114625
-8.54E-07,0.24743083,-0.000790514
-8.53E-07,0.089328066,-0.000790514
-8.52E-07,0.089328066,0.015019763
-8.51E-07,0.24743083,0.015019763
-8.50E-07,0.24743083,0.30750987
-8.49E-07,-0.0687747,0.10988142
-8.48E-07,0.24743083,-0.000790514
-8.47E-07,-0.0687747,-0.024505928
-8.46E-07,0.089328066,0.015019763
-8.45E-07,0.24743083,0.038735177
-8.44E-07,0.089328066,0.015019763
-8.43E-07,0.089328066,0.015019763
-8.42E-07,0.40553358,-0.000790514
-8.41E-07,0.089328066,0.015019763
-8.40E-07,0.24743083,0.030830039
-8.39E-07,0.24743083,0.030830039
-8.38E-07,0.089328066,0.26007906
-8.37E-07,0.089328066,0.078260869
-8.36E-07,0.089328066,0.007114625
-8.35E-07,0.24743083,-0.008695652
-8.34E-07,-0.0687747,0.030830039
-8.33E-07,0.089328066,0.046640318
-8.32E-07,0.089328066,0.007114625
-8.31E-07,0.40553358,-0.000790514
-8.30E-07,0.089328066,0.007114625
-8.29E-07,0.40553358,0.007114625
-8.28E-07,0.089328066,0.022924902
-8.27E-07,0.089328066,0.09407115
-8.26E-07,0.24743083,0.22845849
-8.25E-07,0.40553358,0.062450591
-8.24E-07,0.24743083,-0.016600791
-8.23E-07,0.24743083,-0.024505928
-8.22E-07,-0.0687747,0.030830039
-8.21E-07,0.24743083,0.038735177
-8.20E-07,0.24743083,0.007114625
-8.19E-07,0.24743083,-0.008695652
-8.18E-07,0.40553358,-0.000790514
-8.17E-07,-0.0687747,0.015019763
-8.16E-07,0.24743083,0.022924902
-8.15E-07,0.089328066,0.21264823
-8.14E-07,0.40553358,0.18893281
-8.13E-07,0.089328066,0.046640318
-8.12E-07,0.40553358,-0.024505928
-8.11E-07,0.089328066,-0.000790514
-8.10E-07,0.40553358,0.038735177
-8.09E-07,0.089328066,0.030830039
-8.08E-07,0.089328066,0.007114625
-8.07E-07,0.089328066,-0.000790514
-8.06E-07,0.089328066,-0.000790514
-8.05E-07,0.56363636,0.015019763
-8.04E-07,0.40553358,0.007114625
-8.03E-07,0.089328066,0.28379446
-8.02E-07,-0.0687747,0.14940712
-8.01E-07,0.24743083,0.038735177
-8.00E-07,0.089328066,-0.016600791
-7.99E-07,-0.0687747,0.015019763
-7.98E-07,0.24743083,0.046640318
-7.97E-07,-0.0687747,0.030830039
-7.96E-07,0.24743083,0.015019763
-7.95E-07,0.24743083,-0.000790514
-7.94E-07,0.089328066,0.015019763
-7.93E-07,0.24743083,0.022924902
-7.92E-07,0.24743083,-0.000790514
-7.91E-07,-0.0687747,0.30750987
-7.90E-07,0.089328066,0.1256917
-7.89E-07,0.24743083,0.022924902
-7.88E-07,0.24743083,-0.024505928
-7.87E-07,0.24743083,0.015019763
-7.86E-07,-0.0687747,0.030830039
-7.85E-07,0.24743083,0.022924902
-7.84E-07,-0.0687747,-0.000790514
-7.83E-07,0.089328066,-0.000790514
-7.82E-07,0.40553358,0.007114625
-7.81E-07,0.089328066,0.015019763
-7.80E-07,-0.0687747,0.022924902
-7.79E-07,0.24743083,0.26798418
-7.78E-07,0.24743083,0.10197628
-7.77E-07,0.24743083,-0.000790514
-7.76E-07,0.089328066,-0.024505928
-7.75E-07,0.089328066,0.038735177
-7.74E-07,0.089328066,0.038735177
-7.73E-07,0.24743083,0.007114625
-7.72E-07,0.089328066,0.007114625
-7.71E-07,0.24743083,0.015019763
-7.70E-07,0.089328066,0.022924902
-7.69E-07,0.089328066,0.022924902
-7.68E-07,0.24743083,0.070355728
-7.67E-07,0.089328066,0.23636363
-7.66E-07,0.089328066,0.078260869
-7.65E-07,0.24743083,-0.008695652
-7.64E-07,0.089328066,-0.000790514
-7.63E-07,-0.0687747,0.046640318
-7.62E-07,0.089328066,0.046640318
-7.61E-07,-0.0687747,0.015019763
-7.60E-07,0.089328066,-0.000790514
-7.59E-07,0.24743083,0.007114625
-7.58E-07,-0.0687747,0.015019763
-7.57E-07,0.24743083,0.015019763
-7.56E-07,0.24743083,0.17312253
-7.55E-07,0.089328066,0.19683795
-7.54E-07,0.24743083,0.054545455
-7.53E-07,0.089328066,-0.016600791
-7.52E-07,0.40553358,-0.008695652
-7.51E-07,0.24743083,0.030830039
-7.50E-07,-0.0687747,0.030830039
-7.49E-07,0.089328066,0.007114625
-7.48E-07,0.40553358,0.015019763
-7.47E-07,0.089328066,-0.000790514
-7.46E-07,0.24743083,0.015019763
-7.45E-07,0.24743083,0.015019763
-7.44E-07,0.089328066,0.26007906
-7.43E-07,0.24743083,0.16521738
-7.42E-07,0.089328066,0.046640318
-7.41E-07,0.089328066,-0.024505928
-7.40E-07,0.089328066,0.007114625
-7.39E-07,0.089328066,0.054545455
-7.38E-07,0.24743083,0.022924902
-7.37E-07,0.40553358,0.007114625
-7.36E-07,0.089328066,-0.000790514
-7.35E-07,0.24743083,0.007114625
-7.34E-07,0.24743083,0.007114625
-7.33E-07,0.40553358,0.015019763
-7.32E-07,0.089328066,0.29960474
-7.31E-07,0.089328066,0.11778656
-7.30E-07,0.40553358,0.030830039
-7.29E-07,0.089328066,-0.032411069
-7.28E-07,0.40553358,0.007114625
-7.27E-07,0.089328066,0.030830039
-7.26E-07,0.089328066,0.015019763
-7.25E-07,0.089328066,-0.000790514
-7.24E-07,0.089328066,-0.008695652
-7.23E-07,0.089328066,0.015019763
-7.22E-07,0.089328066,0.022924902
-7.21E-07,0.40553358,0.015019763
-7.20E-07,0.24743083,0.29960474
-7.19E-07,0.089328066,0.10197628
-7.18E-07,0.089328066,0.007114625
-7.17E-07,0.40553358,-0.024505928
-7.16E-07,0.24743083,0.030830039
-7.15E-07,-0.0687747,0.030830039
-7.14E-07,0.089328066,0.015019763
-7.13E-07,0.24743083,-0.000790514
-7.12E-07,0.089328066,-0.000790514
-7.11E-07,-0.0687747,0.015019763
-7.10E-07,0.56363636,0.022924902
-7.09E-07,-0.0687747,0.038735177
-7.08E-07,0.089328066,0.2521739
-7.07E-07,-0.0687747,0.086166009
-7.06E-07,0.089328066,-0.000790514
-7.05E-07,0.40553358,-0.016600791
-7.04E-07,0.089328066,0.030830039
-7.03E-07,0.089328066,0.030830039
