t,ch1,ch2,ch3
-9.50E-07,-0.01469,0.24743083,0.11778656
-9.49E-07,0.009091,0.089328066,0.030830039
-9.48E-07,-0.01469,0.24743083,-0.016600791
-9.47E-07,-0.00666,0.089328066,0.015019763
-9.46E-07,0.024839,0.089328066,0.030830039
-9.45E-07,0.016965,0.24743083,0.015019763
-9.44E-07,-0.03043,0.24743083,-0.00079051382
-9.43E-07,-0.00666,0.089328066,-0.00079051382
-9.42E-07,-0.00666,0.24743083,0.0071146246
-9.41E-07,-0.02256,0.089328066,0.0071146246
-9.40E-07,0.009091,0.089328066,-0.00079051382
-9.39E-07,0.016965,0.089328066,0.22845849
-9.38E-07,-0.02256,0.089328066,0.09407115
-9.37E-07,0.016965,0.089328066,0.030830039
-9.36E-07,-0.00666,0.089328066,-0.016600791
-9.35E-07,-0.00666,0.089328066,0.022924902
-9.34E-07,-0.01469,0.24743083,0.022924902
-9.33E-07,-0.02256,0.089328066,0.022924902
-9.32E-07,-0.03043,0.24743083,-0.00079051382
-9.31E-07,-0.02256,0.24743083,0.015019763
-9.30E-07,-0.00666,0.089328066,0.0071146246
-9.29E-07,-0.02256,-0.0687747,0.015019763
-9.28E-07,-0.01469,-0.0687747,0.015019763
-9.27E-07,-0.01469,0.089328066,0.19683795
-9.26E-07,-0.02256,0.089328066,0.070355728
-9.25E-07,0.001217,0.089328066,0.0071146246
-9.24E-07,0.001217,0.089328066,-0.024505928
-9.23E-07,0.009091,0.089328066,0.022924902
-9.22E-07,-0.00666,0.24743083,0.030830039
-9.21E-07,-0.01469,0.089328066,0.022924902
-9.20E-07,0.001217,0.089328066,0.0071146246
-9.19E-07,-0.01469,0.089328066,0.0071146246
-9.18E-07,-0.02256,0.089328066,0.0071146246
-9.17E-07,0.016965,0.24743083,0.0071146246
-9.16E-07,-0.02256,0.089328066,0.046640318
-9.15E-07,-0.03043,0.24743083,0.18102767
-9.14E-07,-0.01469,0.24743083,0.054545455
-9.13E-07,0.009091,0.089328066,-0.016600791
-9.12E-07,0.009091,0.089328066,-0.0086956518
-9.11E-07,0.001217,0.24743083,0.030830039
-9.10E-07,-0.01469,0.089328066,0.022924902
-9.09E-07,0.016965,0.40553358,0.0071146246
-9.08E-07,-0.00666,0.24743083,-0.00079051382
-9.07E-07,0.001217,0.24743083,0.015019763
-9.06E-07,-0.00666,0.089328066,0.030830039
-9.05E-07,-0.02256,0.24743083,0.0071146246
-9.04E-07,-0.02256,0.40553358,0.1256917
-9.03E-07,-0.01469,0.40553358,0.14150198
-9.02E-07,-0.01469,0.24743083,0.054545455
-9.01E-07,0.009091,0.089328066,-0.0086956518
-9.00E-07,0.009091,0.24743083,-0.0086956518
-8.99E-07,0.001217,0.40553358,0.046640318
-8.98E-07,0.016965,0.089328066,0.022924902
-8.97E-07,0.001217,0.089328066,0.022924902
-8.96E-07,-0.02256,0.089328066,0.0071146246
-8.95E-07,-0.01469,0.24743083,-0.00079051382
-8.94E-07,-0.03043,0.24743083,0.015019763
-8.93E-07,-0.01469,0.24743083,0.015019763
-8.92E-07,-0.01469,0.089328066,0.18893281
-8.91E-07,0.001217,0.40553358,0.10988142
-8.90E-07,-0.00666,0.24743083,0.022924902
-8.89E-07,-0.00666,0.089328066,-0.016600791
-8.88E-07,0.001217,0.089328066,0.015019763
-8.87E-07,0.001217,0.089328066,0.030830039
-8.86E-07,0.009091,0.24743083,0.015019763
-8.85E-07,0.024839,0.089328066,0.0071146246
-8.84E-07,-0.00666,0.089328066,0.0071146246
-8.83E-07,-0.02256,0.40553358,-0.00079051382
-8.82E-07,-0.00666,0.24743083,0.015019763
-8.81E-07,-0.01469,0.089328066,0.0071146246
-8.80E-07,-0.00666,0.24743083,0.22845849
-8.79E-07,-0.00666,0.40553358,0.09407115
