t,single,double,single,double
-0.0000000322,0.014110677,0.014110677,0.01917,0.027075082
-0.000000032,0.012529649,0.013320163,0.011265,0.027075082
-0.0000000318,0.011739135,0.011739135,0.015217,0.023122489
-0.0000000316,0.010948621,0.010948621,0.015217,0.011264801
-0.0000000314,0.010948621,0.010948621,0.007312,0.019169927
-0.0000000312,0.009367593,0.009367593,0.007312,0.019169927
-0.000000031,0.008577079,0.008577079,0.011265,0.019169927
-0.0000000308,0.009367593,0.009367593,0.011265,0.023122489
-0.0000000306,0.008577079,0.008577079,0.015217,0.019169927
-0.0000000304,0.007786565,0.009367593,0.00336,0.015217364
-0.0000000302,0.006996051,0.008577079,0.011265,0.023122489
-0.00000003,0.006996051,0.007786565,0.00336,0.10612646
-0.0000000298,0.007786565,0.008577079,0.007312,0.22075097
-0.0000000296,0.007786565,0.008577079,0.00336,0.30770749
-0.0000000294,0.006205536,0.007786565,0.007312,0.31561261
-0.0000000292,0.006996051,0.006996051,0.007312,0.26422924
-0.000000029,0.006996051,0.007786565,0.00336,0.21679839
-0.0000000288,0.006205536,0.007786565,0.007312,0.18122527
-0.0000000286,0.005415022,0.007786565,0.007312,0.14169958
-0.0000000284,0.006205536,0.006996051,0.00336,0.11403158
-0.0000000282,0.005415022,0.006205536,0.007312,0.098221332
-0.000000028,0.006205536,0.007786565,-0.00059,0.078458458
-0.0000000278,0.006996051,0.008577079,0.00336,0.06660077
-0.0000000276,0.005415022,0.006996051,-0.00059,0.050790489
-0.0000000274,0.004624508,0.006205536,0.00336,0.042885333
-0.0000000272,0.005415022,0.005415022,0.00336,0.03893277
-0.000000027,0.004624508,0.006205536,0.007312,0.031027645
-0.0000000268,0.005415022,0.005415022,0.00336,0.031027645
-0.0000000266,0.003833994,0.005415022,-0.00059,0.027075082
-0.0000000264,0.003833994,0.006205536,0.00336,0.027075082
-0.0000000262,0.004624508,0.004624508,0.007312,0.023122489
-0.000000026,0.003833994,0.006205536,0.007312,0.023122489
-0.0000000258,0.004624508,0.006205536,0.007312,0.019169927
-0.0000000256,0.004624508,0.004624508,0.00336,0.019169927
-0.0000000254,0.005415022,0.006205536,-0.00059,0.023122489
-0.0000000252,0.006205536,0.006205536,0.007312,0.019169927
-0.000000025,0.005415022,0.006205536,0.007312,0.015217364
-0.0000000248,0.006205536,0.006996051,0.00336,0.023122489
-0.0000000246,0.006205536,0.006996051,0.00336,0.015217364
-0.0000000244,0.006205536,0.006996051,0.00336,0.015217364
-0.0000000242,0.006205536,0.007786565,0.066601,0.027075082
-0.000000024,0.005415022,0.006996051,0.212846,0.12984186
-0.0000000238,0.006205536,0.005415022,0.307707,0.26027668
-0.0000000236,0.006996051,0.006205536,0.32747,0.33142292
-0.0000000234,0.009367593,0.010948621,0.260277,0.31956521
-0.0000000232,0.038616605,0.046521742,0.204941,0.25632411
-0.000000023,0.077351779,0.085256919,0.165415,0.21284583
-0.0000000228,0.095533602,0.10185771,0.121937,0.16541499
-0.0000000226,0.091581032,0.095533602,0.110079,0.12984186
-0.0000000224,0.074189723,0.075770751,0.086364,0.10612646
-0.0000000222,0.062332019,0.063913047,0.070553,0.082411051
-0.000000022,0.049683798,0.049683798,0.054743,0.070553333
-0.0000000218,0.039407119,0.040988147,0.042885,0.062648207
-0.0000000216,0.033873521,0.037826091,0.038933,0.050790489
-0.0000000214,0.029920954,0.029920954,0.027075,0.034980208
-0.0000000212,0.025177874,0.025177874,0.027075,0.031027645
-0.000000021,0.022015817,0.021225303,0.023122,0.027075082
-0.0000000208,0.018853761,0.018853761,0.023122,0.027075082
-0.0000000206,0.015691705,0.016482219,0.015217,0.023122489
-0.0000000204,0.014901191,0.015691705,0.011265,0.027075082
-0.0000000202,0.013320163,0.013320163,0.011265,0.027075082
-0.00000002,0.011739135,0.011739135,0.007312,0.019169927
-0.0000000198,0.011739135,0.012529649,0.011265,0.023122489
-0.0000000196,0.009367593,0.011739135,0.011265,0.019169927
-0.0000000194,0.008577079,0.010158107,0.007312,0.019169927
-0.0000000192,0.008577079,0.009367593,0.007312,0.015217364
-0.000000019,0.008577079,0.009367593,0.007312,0.019169927
-0.0000000188,0.009367593,0.008577079,0.007312,0.019169927
-0.0000000186,0.007786565,0.007786565,0.007312,0.015217364
-0.0000000184,0.006996051,0.007786565,0.011265,0.027075082
-0.0000000182,0.007786565,0.008577079,0.007312,0.10217389
-0.000000018,0.006996051,0.008577079,0.007312,0.21679839
-0.0000000178,0.006996051,0.007786565,0.00336,0.29980236
-0.0000000176,0.007786565,0.006996051,0.00336,0.31166005
-0.0000000174,0.007786565,0.006205536,0.00336,0.27213436
-0.0000000172,0.006996051,0.007786565,0.007312,0.22470354
-0.000000017,0.006205536,0.008577079,0.007312,0.18517783
-0.0000000168,0.006205536,0.007786565,0.007312,0.14169958
-0.0000000166,0.006205536,0.006996051,0.007312,0.12193674
-0.0000000164,0.005415022,0.006996051,-0.00059,0.094268739
-0.0000000162,0.006996051,0.008577079,0.00336,0.082411051
-0.000000016,0.006996051,0.007786565,0.00336,0.070553333
-0.0000000158,0.006205536,0.007786565,0.00336,0.050790489
-0.0000000156,0.006205536,0.006205536,-0.00059,0.042885333
-0.0000000154,0.004624508,0.005415022,-0.00059,0.042885333
