x,y,err
-778.8,0.189252164,0.09784666823
-767.6,0.1892515806,0.07548447487
-756.4,0.3599407831,0.2091581429
-745.2,0.7872776976,0.6069498392
-734,0.4141664556,0.2005843735
-722.8,0.1892516979,0.09143695258
-711.6,0.1892519623,0.08907231222
-700.4,0.4381218221,0.2963561889
-689.2,0.4532507765,0.1765211613
-678,0.6529806403,0.273546151
-666.8,0.1965337378,0.04400594517
-655.6,0.1981100491,0.0720614795
-644.4,0.3389957037,0.1225918174
-633.2,0.3504034293,0.1356751013
-622,0.3310283849,0.0869328834
-610.8,0.3138586962,0.08604567715
-599.6,0.1892516305,0.06059870555
-588.4,0.2886131463,0.07981141833
-577.2,0.4472345803,0.1224320129
-566,0.4595937518,0.1279527198
-554.8,0.3773476159,0.1095003626
-543.6,0.4185960386,0.1426302221
-532.4,0.3822521194,0.1118039952
-521.2,0.4748177521,0.1009518166
-510,0.6291765816,0.1294917494
-498.8,0.4562387757,0.1325097888
-487.6,0.4338211454,0.09483271233
-476.4,0.4591017894,0.1032016884
-465.2,0.5879033043,0.1233777996
-454,0.3386288575,0.06274161571
-442.8,0.3680814113,0.06885624396
-431.6,0.4487082825,0.07442151206
-420.4,0.4909719918,0.1000903788
-409.2,0.3437220229,0.06844506812
-398,0.5528629535,0.1135531115
-386.8,0.5233398621,0.0943893586
-375.6,0.7616445324,0.1334322149
-364.4,0.5671510637,0.08735400856
-353.2,0.5632840682,0.081727124
-342,0.4046946003,0.06525174763
-330.8,0.6639651141,0.1081921369
-319.6,0.6498038476,0.1163143515
-308.4,0.8354522442,0.1664740557
-297.2,0.7463338865,0.1252299758
-286,0.3664440301,0.04202318873
-274.8,0.6269270863,0.07228062785
-263.6,0.6416652709,0.1050573056
-252.4,0.4265038858,0.05888982412
-241.2,0.576895948,0.09325335309
-230,0.6099436954,0.1144396167
-218.8,0.4683619356,0.06867057629
-207.6,0.5362283319,0.07654175996
-196.4,0.8167025917,0.1398943186
-185.2,0.625396044,0.1005724235
-174,0.5122703236,0.07232263025
-162.8,0.8876396942,0.1345969126
-151.6,0.8716724459,0.1183244494
-140.4,0.7072389072,0.1087360954
-129.2,0.6779177296,0.09512271724
-118,0.9114587706,0.1455805506
-106.8,0.6859201921,0.1076566693
-95.6,0.6561237773,0.101777905
-84.4,0.7138374259,0.1421525757
-73.2,0.5582803428,0.09955709061
-62,0.6331227451,0.1118033844
-50.8,0.8210918792,0.1367859498
-39.6,0.769660508,0.1177824187
-28.4,0.5770070847,0.09247659038
-17.2,0.5755648722,0.09443435132
-6,0.4433148997,0.07121183035
5.2,0.3598072121,0.05019062905
16.4,0.3906577899,0.04895233976
27.6,0.5221685473,0.07763592693
38.8,0.5282874044,0.06994839837
50,0.5118104602,0.081503984
61.2,0.4149038164,0.05053357228
72.4,0.5308833714,0.07932519148
83.6,0.63485311,0.1039689307
94.8,0.7408956466,0.1328745121
106,0.554662573,0.08951165738
117.2,0.502518022,0.07569542619
128.4,0.6951826294,0.1032570966
139.6,0.5580770161,0.07479752378
150.8,0.6350294015,0.08421205668
162,0.4567056292,0.07513233847
173.2,0.6114752375,0.08589560473
184.4,0.6264562253,0.1084197777
195.6,0.5606820274,0.06893365019
206.8,0.7834918813,0.1190366904
218,0.6149247938,0.1003161472
229.2,0.6702370533,0.08751260339
240.4,0.6328095524,0.09903362105
251.6,0.6523012517,0.1125066556
262.8,0.8426489792,0.169239874
274,0.7363769797,0.1761193546
285.2,0.6877427376,0.1471003808
296.4,0.6345909389,0.1153941399
307.6,0.6097697009,0.1174358067
318.8,0.5371171521,0.09821355058
330,0.4638212244,0.07126736778
341.2,0.5258256152,0.1020110782
